entry_date,exit_date,direction,entry_price,exit_price,qty,pnl,return,outcome,holding_days
2024-05-15,2024-05-23,LONG,42.18,41.6098,100,-57.02,-0.013517,Stop-loss,6
2024-05-29,2024-05-31,SHORT,40.82,41.4757,100,-65.57,-0.016064,Stop-loss,2
2024-07-11,2024-07-16,LONG,42.24,43.1485,100,90.85,0.021509,Successful,3
2024-07-17,2024-07-19,LONG,43.82,43.0709,100,-74.91,-0.017096,Stop-loss,2
2024-08-02,2024-08-14,SHORT,42.06,43.1237,100,-106.37,-0.02529,Stop-loss,8
2024-08-05,2024-08-07,SHORT,40.84,42.0419,100,-120.19,-0.029429,Stop-loss,2
2024-08-23,2024-08-29,LONG,44.43,45.4088,100,97.88,0.022031,Successful,4
2024-08-30,2024-09-05,LONG,45.74,44.9945,100,-74.55,-0.0163,Stop-loss,3
2024-10-09,2024-10-15,LONG,45.77,46.8657,100,109.57,0.02394,Successful,4
2024-10-16,2024-10-25,LONG,47.48,46.6237,100,-85.63,-0.018036,Stop-loss,7
2024-10-31,2024-11-06,SHORT,46.48,47.29,100,-81.0,-0.017427,Stop-loss,4
2024-11-04,2024-11-06,SHORT,46.28,47.1045,100,-82.45,-0.017817,Stop-loss,2
2024-11-11,2024-11-25,LONG,49.89,51.06,100,117.0,0.023452,Timed-out,10
2024-12-09,2024-12-18,SHORT,49.71,48.5966,100,111.34,0.022398,Successful,7
2025-01-10,2025-01-15,SHORT,47.32,48.4224,100,-110.24,-0.023296,Stop-loss,3
2025-01-27,2025-02-03,LONG,51.41,50.4724,100,-93.76,-0.018238,Stop-loss,5
2025-02-21,2025-02-27,SHORT,50.75,51.7091,100,-95.91,-0.018898,Stop-loss,4
2025-03-04,2025-03-10,SHORT,49.92,47.8903,100,202.97,0.040659,Successful,4
2025-04-03,2025-04-04,SHORT,47.69,45.3697,100,232.03,0.048654,Successful,1
2025-05-12,2025-05-27,LONG,50.87,50.93,100,6.0,0.001179,Timed-out,10
2025-06-13,2025-06-24,SHORT,49.96,50.9393,100,-97.93,-0.019601,Stop-loss,6
2025-06-27,2025-07-03,LONG,51.94,53.1576,100,121.76,0.023443,Successful,4
2025-07-15,2025-07-17,SHORT,51.65,52.5644,100,-91.44,-0.017703,Stop-loss,2
2025-08-01,2025-08-12,SHORT,51.4,52.4047,100,-100.47,-0.019546,Stop-loss,7
2025-08-22,2025-09-08,LONG,53.57,53.11,100,-46.0,-0.008587,Timed-out,10
2025-10-10,2025-10-14,SHORT,52.16,53.2367,100,-107.67,-0.020642,Stop-loss,2
2025-10-16,2025-10-24,SHORT,51.76,53.1629,100,-140.29,-0.027104,Stop-loss,6
2025-11-12,2025-11-14,LONG,53.67,52.7122,100,-95.78,-0.017846,Stop-loss,2
2025-11-17,2025-11-25,SHORT,51.45,52.5767,100,-112.67,-0.0219,Stop-loss,6
2025-12-11,2025-12-26,LONG,54.87,55.62,100,75.0,0.013669,Timed-out,10
2026-01-05,2026-01-12,LONG,56.13,55.1234,100,-100.66,-0.017933,Stop-loss,5
2026-01-13,2026-01-28,SHORT,54.23,52.99,100,124.0,0.022866,Timed-out,10
2026-02-06,2026-02-11,LONG,54.26,53.0618,100,-119.82,-0.022082,Stop-loss,3
2026-02-12,2026-02-27,SHORT,51.69,51.43,100,26.0,0.00503,Timed-out,10
2026-03-27,2026-03-31,SHORT,47.81,49.1576,100,-134.76,-0.028187,Stop-loss,2
2026-04-17,2026-04-17,LONG,52.43,52.43,100,0.0,0.0,Timed-out,0
